"Feature","Gain","Cover","Frequency"
"Store_Type.S4",0.237814814869601,0.021395458864563,0.00603732162458836
"Location_Type.L2",0.17908764878675,0.0210052580521663,0.0053055250640322
"Discount",0.143893024714184,0.035122719296302,0.0572630808635199
"Week",0.0636567697420432,0.0918135436284402,0.246676423954141
"Location_Type.L1",0.0463190288532905,0.0130735962889333,0.00426881326991096
"Holiday",0.0439532917601816,0.0184433688177848,0.0689718258324186
"IsWeekend",0.0434748991063086,0.0304003330352756,0.0586047078912062
"Store_Type.S2",0.03975178414497,0.0104270755842735,0.00335406756921576
"Day",0.0340116774428662,0.0220045740633983,0.248018050981827
"Store_Type.S1",0.0206431191591299,0.00595988355841735,0.00286620319551165
"Store_id.175",0.0176738302647118,0.0177460268898716,0.00512257592389316
"Month",0.0150585117864094,0.00752195897650228,0.122149042566167
"Store_Type.S3",0.011440042066312,0.012250553972917,0.00286620319551165
"Store_id.337",0.0112660573657658,0.0165208041747666,0.00536650811074521
"Latitude",0.00980880302168986,0.0162334554198718,0.0113428466886206
"Store_id.126",0.00713368830843468,0.0174477679073123,0.00408586412977192
"Store_id.312",0.00683788983518691,0.016106261616575,0.00384193194291987
"Location_Type.L5",0.00617987992058377,0.00679452749802119,0.00274423710208562
"Store_id.146",0.00505639807915502,0.0165390662457454,0.0035370167093548
"Store_id.160",0.00427445109966824,0.0152495990214775,0.00323210147578973
"Longitude",0.00422838041751041,0.0062839915298837,0.00768386388583974
"Location_Type.L3",0.00344663718622956,0.00305915961941014,0.0021953896816685
"Store_id.153",0.00296012612205524,0.015058916635227,0.0031101353823637
"Store_id.87",0.00268184999451782,0.013494190866104,0.00237833882180754
"Distance_To_Center",0.00253763388289802,0.0182683995562105,0.00591535553116234
"Store_id.298",0.00197737674527616,0.0101290885507771,0.00317111842907672
"Holiday_Discount",0.00169418961494871,0.00187929708615844,0.0158555921453836
"Store_id.354",0.00164569134001988,0.0149555852098852,0.00237833882180754
"Store_id.267",0.00132726207365298,0.0114936828560356,0.00207342358824247
"Store_id.227",0.00125422911892622,0.0118402058833248,0.00182949140139041
"Store_id.173",0.00123378150206759,0.0112864254048583,0.0017685083546774
"Location_Type.L4",0.00117008548171807,0.00328756456721821,0.000975728747408221
"Store_id.315",0.00114332492393983,0.0127621316442451,0.00182949140139041
"Store_id.261",0.00106905636444924,0.0120729343603046,0.00182949140139041
"Store_id.176",0.00102658879240624,0.0117786946927108,0.00237833882180754
"Store_id.105",0.000960251467345157,0.00932561734868718,0.00170752530796439
"Store_id.316",0.000834111146225631,0.0115566644153125,0.0017685083546774
"Store_id.156",0.000666146676476907,0.00422337355827184,0.00103671179412123
"Store_id.253",0.000608566508275923,0.00968102711823971,0.00164654226125137
"Store_id.346",0.000581305120326817,0.00928069505091838,0.00170752530796439
"Store_id.294",0.000566312597338099,0.00932025211632489,0.00103671179412123
"Store_id.65",0.00055414286137012,0.00742897544347437,0.00152457616782534
"Store_id.131",0.000532951980409949,0.00852937353864541,0.00109769484083425
"Store_id.286",0.000509969508126988,0.0022146932483939,0.00201244054152945
"Store_id.179",0.000508761201962604,0.00489864151901749,0.00115867788754726
"Store_id.85",0.000494547222829645,0.00974416539392585,0.0013416270276863
"Store_id.132",0.000480989223449525,0.00792972585464867,0.00115867788754726
"Store_id.206",0.000455287922499401,0.00885589217722987,0.00140261007439932
"Store_id.121",0.000454523409208721,0.00966358550375612,0.00115867788754726
"Store_id.94",0.000452375055184022,0.00848387507760746,0.00109769484083425
"Store_id.187",0.000429201848552591,0.00458672977163243,0.000914745700695207
"Store_id.39",0.000404699296715277,0.00832589110920754,0.00146359312111233
"Store_id.336",0.000376333408449221,0.00875782918882116,0.000975728747408221
"Store_id.8",0.000345393241921086,0.0076604640170989,0.000975728747408221
"Store_id.148",0.000340058068714296,0.00785253841380768,0.000975728747408221
"Store_id.6",0.000323464663333566,0.00421465275103004,0.000853762653982193
"Store_id.63",0.000319813539201649,0.00720019714186789,0.000853762653982193
"Store_id.108",0.000316536309294944,0.00704418595650153,0.000975728747408221
"Store_id.178",0.000314780734839395,0.00143048894602421,0.000853762653982193
"Store_id.124",0.000305013961900462,0.000375073069601956,0.000670813513843152
"Store_id.26",0.000304702112257422,0.00828060006694648,0.000914745700695207
"Store_id.212",0.000295335896700888,0.00187549440858207,0.000731796560556165
