"Store_id","Store_Type","Location_Type","Region_Code","Latitude","Longitude"
1,"S1","L3","R1",40.5888817842118,-80.3552069962025
2,"S3","L1","R3",37.249764774926,-87.6305735544302
3,"S4","L2","R1",40.7952607670799,-80.3556981135625
4,"S1","L1","R2",39.1099117994308,-83.208937905496
5,"S1","L1","R3",35.8444501920603,-88.302499266807
6,"S4","L1","R1",40.1774460489629,-80.4092188731302
7,"S3","L1","R3",37.1085125585087,-86.3994438641239
8,"S4","L2","R2",39.799724971992,-84.2258926639333
9,"S1","L1","R1",41.0374395245919,-82.375775989145
10,"S4","L2","R3",35.5023832567967,-87.582235756563
11,"S4","L2","R1",41.7266166870948,-82.052620783681
12,"S1","L3","R2",39.6618873131229,-83.8498385830317
13,"S3","L3","R1",41.2518700802699,-82.0559260977898
14,"S3","L2","R4",34.9260861475486,-91.71873727208
15,"S4","L2","R1",40.2749719605316,-80.6630882604513
16,"S1","L3","R1",41.6297024496831,-81.9817062611692
17,"S1","L1","R2",39.6412354380591,-85.7580835314002
18,"S4","L1","R1",40.1715012070024,-81.7520156037062
19,"S1","L1","R3",36.8900413946249,-87.6366884915624
20,"S1","L1","R1",41.7226562035503,-81.5437189822551
21,"S3","L2","R4",33.8664623743389,-90.842458252795
22,"S1","L1","R4",34.1327151976293,-89.4131439221092
23,"S1","L1","R4",34.9066552653676,-91.7193093656097
24,"S1","L1","R2",38.6424436197849,-85.6744942895602
25,"S1","L3","R1",41.2146998584969,-82.1131778764538
26,"S1","L1","R3",36.4796741032042,-86.7701550747734
27,"S1","L3","R3",36.4885847237892,-88.7069233895745
28,"S3","L2","R3",37.2767431703396,-86.1142837475054
29,"S1","L4","R2",39.6785317513859,-84.3078726886306
30,"S1","L2","R2",38.6581266191788,-85.0833904414903
31,"S1","L5","R2",38.8593919435516,-85.2019729060121
32,"S1","L1","R2",38.9058173085796,-84.1024976312183
33,"S4","L2","R4",34.3525070181349,-89.4053240353242
34,"S1","L3","R1",41.4522946100682,-80.9995946774725
35,"S1","L1","R2",39.9868548337836,-83.0229948915076
36,"S1","L3","R4",34.310384274344,-89.4044387338217
37,"S1","L3","R3",35.7914175251499,-86.6098161954433
38,"S1","L3","R2",39.8579643724952,-85.0139237754047
39,"S4","L1","R1",40.6409077129792,-80.4006222661119
40,"S1","L1","R4",34.581963899429,-91.7596343343612
41,"S1","L1","R2",39.1747037261957,-83.6139298924245
42,"S1","L4","R3",37.1262262649834,-87.5618701626081
43,"S1","L1","R2",38.6237541186856,-84.5839413984213
